dateTime,volume
2021-05-20 00:00:00,203017.59692300
2021-05-21 00:00:00,202100.88825800
2021-05-22 00:00:00,126542.24368900
2021-05-23 00:00:00,217136.04659300
2021-05-24 00:00:00,161630.89397100
2021-05-25 00:00:00,111996.22840400
2021-05-26 00:00:00,104780.77339600
2021-05-27 00:00:00,86547.15879400
2021-05-28 00:00:00,135377.62972000
2021-05-29 00:00:00,112663.09268900
2021-05-30 00:00:00,73535.38696700
2021-05-31 00:00:00,94160.73528900
2021-06-01 00:00:00,81234.66377000
2021-06-02 00:00:00,67587.37249500
2021-06-03 00:00:00,75889.10601100
2021-06-04 00:00:00,91317.79924500
2021-06-05 00:00:00,70459.62149000
2021-06-06 00:00:00,47650.20663700
2021-06-07 00:00:00,77574.95257300
2021-06-08 00:00:00,123251.18903700
2021-06-09 00:00:00,136607.59751700
2021-06-10 00:00:00,109527.28494300
2021-06-11 00:00:00,78466.00530000
2021-06-12 00:00:00,87717.54999000
2021-06-13 00:00:00,86921.02555500
2021-06-14 00:00:00,108522.39194900
2021-06-15 00:00:00,80679.62283800
2021-06-16 00:00:00,87771.97693700
2021-06-17 00:00:00,79541.30711900
2021-06-18 00:00:00,95228.04293500
2021-06-19 00:00:00,68712.44946100
2021-06-20 00:00:00,89878.17085000
2021-06-21 00:00:00,168778.87315900
2021-06-22 00:00:00,204208.17976200
2021-06-23 00:00:00,126966.10056300
2021-06-24 00:00:00,86625.80426000
2021-06-25 00:00:00,116061.13035600
2021-06-26 00:00:00,107820.37528700
2021-06-27 00:00:00,96613.24421100
2021-06-28 00:00:00,82222.26781900
2021-06-29 00:00:00,90788.79622000
2021-06-30 00:00:00,77152.19763400
2021-07-01 00:00:00,71708.26611200
2021-07-02 00:00:00,56172.18137800
2021-07-03 00:00:00,43044.57864100
2021-07-04 00:00:00,43703.47578900
2021-07-05 00:00:00,64123.87424500
2021-07-06 00:00:00,58210.59634900
2021-07-07 00:00:00,53807.52167500
2021-07-08 00:00:00,70136.48032000
2021-07-09 00:00:00,47153.93989900
2021-07-10 00:00:00,34761.17546800
2021-07-11 00:00:00,31572.64744800
2021-07-12 00:00:00,48181.40376200
2021-07-13 00:00:00,41126.36100800
2021-07-14 00:00:00,46777.82348400
2021-07-15 00:00:00,51639.57635300
2021-07-16 00:00:00,48499.86415400
2021-07-17 00:00:00,34012.24213200
2021-07-18 00:00:00,35923.71618600
2021-07-19 00:00:00,47340.46849900
2021-07-20 00:00:00,61034.04901700
2021-07-21 00:00:00,82796.26512800
2021-07-22 00:00:00,46148.09243300
2021-07-23 00:00:00,50112.86362600
2021-07-24 00:00:00,47977.55013800
2021-07-25 00:00:00,47852.92831300
2021-07-26 00:00:00,152452.51272400
2021-07-27 00:00:00,88397.26701500
2021-07-28 00:00:00,101344.52844100
2021-07-29 00:00:00,53998.43928300
2021-07-30 00:00:00,73602.78480500
2021-07-31 00:00:00,44849.79101200
2021-08-01 00:00:00,53953.18632600
2021-08-02 00:00:00,50837.35195400
2021-08-03 00:00:00,57117.43585300
2021-08-04 00:00:00,52329.35243000
2021-08-05 00:00:00,84343.75562100
2021-08-06 00:00:00,75753.94134700
2021-08-07 00:00:00,73396.74080800
2021-08-08 00:00:00,69329.09269800
2021-08-09 00:00:00,74587.88484500
2021-08-10 00:00:00,53814.64342100
2021-08-11 00:00:00,52734.90197700
2021-08-12 00:00:00,55266.10878100
2021-08-13 00:00:00,48239.37043100
2021-08-14 00:00:00,46114.35902200
2021-08-15 00:00:00,42110.71133400
2021-08-16 00:00:00,52480.57401400
2021-08-17 00:00:00,57039.34162900
2021-08-18 00:00:00,54099.41598500
2021-08-19 00:00:00,53411.75392000
2021-08-20 00:00:00,56850.35222800
2021-08-21 00:00:00,46745.13658400
2021-08-22 00:00:00,37007.88779500
2021-08-23 00:00:00,52462.54195400
2021-08-24 00:00:00,51014.59474800
2021-08-25 00:00:00,44655.83034200
2021-08-26 00:00:00,49371.27777400
2021-08-27 00:00:00,42068.10496500
2021-08-28 00:00:00,26681.06378600
2021-08-29 00:00:00,32652.28347300
2021-08-30 00:00:00,40288.35083000
2021-08-31 00:00:00,48645.52737000
2021-09-01 00:00:00,49904.65528000
2021-09-02 00:00:00,54410.77053800
2021-09-03 00:00:00,59025.64415700
2021-09-04 00:00:00,34664.65959000
2021-09-05 00:00:00,40544.83587300
2021-09-06 00:00:00,49249.66708100
2021-09-07 00:00:00,123048.80271900
2021-09-08 00:00:00,65069.31520000
2021-09-09 00:00:00,50651.66002000
2021-09-10 00:00:00,49048.26618000
2021-09-11 00:00:00,30440.40810000
2021-09-12 00:00:00,32094.28052000
2021-09-13 00:00:00,65429.15056000
2021-09-14 00:00:00,44855.85099000
2021-09-15 00:00:00,43204.71174000
2021-09-16 00:00:00,40725.08895000
2021-09-17 00:00:00,34461.92776000
2021-09-18 00:00:00,30906.47038000
2021-09-19 00:00:00,29847.24349000
2021-09-20 00:00:00,78003.52444300
2021-09-21 00:00:00,84534.08048500
2021-09-22 00:00:00,58349.05542000
2021-09-23 00:00:00,48699.57655000
2021-09-24 00:00:00,84113.42629200
2021-09-25 00:00:00,33594.57189000
2021-09-26 00:00:00,49879.99765000
2021-09-27 00:00:00,39776.84383000
2021-09-28 00:00:00,43372.26240000
2021-09-29 00:00:00,33511.53487000
2021-09-30 00:00:00,46381.22781000
2021-10-01 00:00:00,66244.87492000
2021-10-02 00:00:00,30508.98131000
2021-10-03 00:00:00,30825.05601000
2021-10-04 00:00:00,46796.49372000
2021-10-05 00:00:00,52125.66793000
