dateTime,open
2017-08-17 00:00:00,4261.48000000
2017-08-18 00:00:00,4285.08000000
2017-08-19 00:00:00,4108.37000000
2017-08-20 00:00:00,4120.98000000
2017-08-21 00:00:00,4069.13000000
2017-08-22 00:00:00,4016.00000000
2017-08-23 00:00:00,4040.00000000
2017-08-24 00:00:00,4147.00000000
2017-08-25 00:00:00,4316.01000000
2017-08-26 00:00:00,4280.71000000
2017-08-27 00:00:00,4332.51000000
2017-08-28 00:00:00,4310.01000000
2017-08-29 00:00:00,4353.65000000
2017-08-30 00:00:00,4564.52000000
2017-08-31 00:00:00,4555.14000000
2017-09-01 00:00:00,4689.89000000
2017-09-02 00:00:00,4796.16000000
2017-09-03 00:00:00,4508.50000000
2017-09-04 00:00:00,4505.00000000
2017-09-05 00:00:00,4106.97000000
2017-09-06 00:00:00,4366.49000000
2017-09-07 00:00:00,4619.77000000
2017-09-08 00:00:00,4691.66000000
2017-09-09 00:00:00,4282.80000000
2017-09-10 00:00:00,4258.81000000
2017-09-11 00:00:00,4153.62000000
2017-09-12 00:00:00,4208.60000000
2017-09-13 00:00:00,4159.72000000
2017-09-14 00:00:00,3944.00000000
2017-09-15 00:00:00,3188.01000000
2017-09-16 00:00:00,3674.01000000
2017-09-17 00:00:00,3685.23000000
2017-09-18 00:00:00,3690.00000000
2017-09-19 00:00:00,4060.00000000
2017-09-20 00:00:00,3910.04000000
2017-09-21 00:00:00,3889.99000000
2017-09-22 00:00:00,3592.84000000
2017-09-23 00:00:00,3595.88000000
2017-09-24 00:00:00,3779.54000000
2017-09-25 00:00:00,3660.02000000
2017-09-26 00:00:00,3928.00000000
2017-09-27 00:00:00,3882.36000000
2017-09-28 00:00:00,4192.11000000
2017-09-29 00:00:00,4178.98000000
2017-09-30 00:00:00,4175.00000000
2017-10-01 00:00:00,4378.49000000
2017-10-02 00:00:00,4400.00000000
2017-10-03 00:00:00,4380.00000000
2017-10-04 00:00:00,4314.90000000
2017-10-05 00:00:00,4208.59000000
2017-10-06 00:00:00,4318.99000000
2017-10-07 00:00:00,4369.00000000
2017-10-08 00:00:00,4425.00000000
2017-10-09 00:00:00,4640.00000000
2017-10-10 00:00:00,4786.95000000
