dateTime,open,volume
2020-01-01 00:00:00,7195.24000000,16792.38816500
2020-01-02 00:00:00,7200.77000000,31951.48393200
2020-01-03 00:00:00,6965.49000000,68428.50045100
2020-01-04 00:00:00,7345.00000000,29987.97497700
2020-01-05 00:00:00,7354.19000000,38331.08560400
2020-01-06 00:00:00,7357.64000000,54635.69531600
2020-01-07 00:00:00,7758.90000000,91171.68466100
2020-01-08 00:00:00,8145.92000000,112622.64264000
2020-01-09 00:00:00,8054.72000000,64239.51983000
2020-01-10 00:00:00,7817.74000000,82406.77744800
2020-01-11 00:00:00,8198.86000000,54810.03266700
2020-01-12 00:00:00,8020.01000000,38131.49433600
2020-01-13 00:00:00,8184.97000000,31159.75568300
2020-01-14 00:00:00,8110.34000000,120399.12674200
2020-01-15 00:00:00,8814.64000000,84816.29760600
2020-01-16 00:00:00,8820.01000000,51991.07428400
2020-01-17 00:00:00,8720.15000000,70897.73737700
2020-01-18 00:00:00,8913.27000000,38294.74654500
2020-01-19 00:00:00,8915.09000000,70676.88925900
2020-01-20 00:00:00,8701.72000000,38896.63974600
2020-01-21 00:00:00,8642.35000000,36494.68765900
2020-01-22 00:00:00,8736.04000000,29080.55713800
2020-01-23 00:00:00,8682.77000000,48165.94459700
2020-01-24 00:00:00,8404.52000000,41687.52952900
2020-01-25 00:00:00,8438.99000000,25521.15793200
2020-01-26 00:00:00,8340.01000000,31130.48516400
2020-01-27 00:00:00,8614.39000000,53973.54299600
2020-01-28 00:00:00,8907.57000000,74584.85376500
2020-01-29 00:00:00,9375.34000000,53864.06512200
2020-01-30 00:00:00,9301.57000000,60626.74425900
2020-01-31 00:00:00,9511.52000000,45552.02235200
2020-02-01 00:00:00,9351.71000000,28578.06735400
2020-02-02 00:00:00,9384.41000000,45690.91254000
2020-02-03 00:00:00,9331.59000000,50892.13345100
2020-02-04 00:00:00,9291.35000000,53308.17526600
2020-02-05 00:00:00,9197.02000000,64870.41561500
2020-02-06 00:00:00,9612.03000000,64949.70658800
2020-02-07 00:00:00,9772.00000000,43966.11463200
2020-02-08 00:00:00,9813.87000000,43600.84366600
2020-02-09 00:00:00,9895.04000000,43408.47561600
2020-02-10 00:00:00,10151.72000000,59573.08461900
2020-02-11 00:00:00,9851.74000000,62422.39522400
2020-02-12 00:00:00,10223.08000000,61008.06393000
2020-02-13 00:00:00,10325.33000000,79344.35875900
