dateTime,price
2021-11-07 00:00:00,63273.59000000
2021-11-08 00:00:00,67525.83000000
2021-11-09 00:00:00,66947.66000000
2021-11-10 00:00:00,64882.43000000
2021-11-11 00:00:00,64774.26000000
2021-11-12 00:00:00,64122.23000000
2021-11-13 00:00:00,64380.00000000
2021-11-14 00:00:00,65519.10000000
2021-11-15 00:00:00,63606.74000000
2021-11-16 00:00:00,60058.87000000
2021-11-17 00:00:00,60344.87000000
2021-11-18 00:00:00,56891.62000000
2021-11-19 00:00:00,58052.24000000
2021-11-20 00:00:00,59707.51000000
2021-11-21 00:00:00,58622.02000000
2021-11-22 00:00:00,56247.18000000
2021-11-23 00:00:00,57541.27000000
2021-11-24 00:00:00,57138.29000000
2021-11-25 00:00:00,58960.36000000
2021-11-26 00:00:00,53726.53000000
2021-11-27 00:00:00,54721.03000000
2021-11-28 00:00:00,57274.88000000
2021-11-29 00:00:00,57776.25000000
2021-11-30 00:00:00,56950.56000000
2021-12-01 00:00:00,57184.07000000
2021-12-02 00:00:00,56480.34000000
2021-12-03 00:00:00,53601.05000000
2021-12-04 00:00:00,49152.47000000
2021-12-05 00:00:00,49396.33000000
2021-12-06 00:00:00,50441.92000000
2021-12-07 00:00:00,50588.95000000
2021-12-08 00:00:00,50471.19000000
2021-12-09 00:00:00,47545.59000000
2021-12-10 00:00:00,47140.54000000
2021-12-11 00:00:00,49389.99000000
2021-12-12 00:00:00,50053.90000000
2021-12-13 00:00:00,46702.75000000
2021-12-14 00:00:00,48343.28000000
2021-12-15 00:00:00,48864.98000000
2021-12-16 00:00:00,47632.38000000
2021-12-17 00:00:00,46131.20000000
2021-12-18 00:00:00,46834.48000000
2021-12-19 00:00:00,46681.23000000
2021-12-20 00:00:00,46914.16000000
2021-12-21 00:00:00,48687.88000000
